Serial,comment,timestamp
1,Cristiano Ronaldo match-winning goal in the Champions League,2021-09-13 00:59:33
2,Data science is the study of data and how it can be used to make better decisions.,2021-09-13 00:59:56
3,Virat Kohli is an Indian cricketer who is the current captain of the India national team.,2021-09-13 01:50:47
4,Data Science for Business teaches you how to effectively use data to tackle your business decisions.,2021-09-13 01:54:45
5,"Edge AI is the processing of Artificial Intelligence algorithms on edge, that is, on users' devices.",2021-09-13 01:53:17
6,"Lionel Messi, plays as a forward for Ligue 1 club Paris Saint-Germain and captains the Argentina national team.",2021-09-13 01:54:34
7,Football at the Summer Olympics has been included in every Summer Olympic Games as a men's competition sport.,2021-09-13 01:57:58
8,"Elon Reeve Musk FRS is an entrepreneur and business magnate. He is the founder, CEO, and Chief Engineer at SpaceX.",2021-09-13 01:58:51
9,A programming language is a formal language comprising a set of strings that produce various kinds of machine code output.,2021-09-13 02:00:01
10,"Rugby union, commonly known simply as rugby, is a close-contact team sport that originated in England in the first half of the 19th century.",2021-09-13 02:02:23
11,"Usain St. Leo Bolt, OJ, CD, OLY is a retired Jamaican sprinter, widely considered to be the greatest sprinter of all time.",2021-09-13 02:03:19
12,"BMW serves purely as a status symbol for some, while for others it's a belief in the mantra “The Ultimate Driving Machine” and philosophy.",2021-09-13 02:04:24
